Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,"8054EK A 1    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,48200,0,141200,502 SUNSET BLVD. N.W.,Land    R - Residential,,TV,2017
500020,"8054EK A 2    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,108000,0,201000,504 SUNSET BLVD. N.W.,Land    R - Residential,,TV,2017
500030,"8054EK A 3    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,166900,0,259900,506 SUNSET BLVD. N.W.,Land    R - Residential,,TV,2017
500040,"8054EK A 4    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,146400,0,239400,508 SUNSET BLVD. N.W.,Land    R - Residential,,TV,2017
500050,"8054EK A 5    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,99500,0,192500,510 SUNSET BLVD. N.W.,Land    R - Residential,,TV,2017
500060,"8054EK A 9    SW-12-20-3-5    10,330 Sq. Feet",T,2,Residential,I  Individual,108300,119900,0,228200,519 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500070,"8054EK A 10    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,116800,0,209800,517 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500080,"8054EK A 11    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,198500,0,291500,515 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500090,"8054EK A 12    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,199500,0,292500,513 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500100,"8054EK A 13    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,116800,0,209800,511 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500110,"8054EK A 14    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,142800,0,235800,509 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500120,"8054EK A 15,16    SW-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,110600,190600,0,301200,505 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
500140,"8054EK A 17    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,221800,0,314800,503 WINDSOR AVE. N.W.,Land    R - Residential,,TV,2017
