Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,8054EK A 1    SW-12-20-3-5,T,2,Residential,I  Individual,84300,46900,0,131200,502 SUNSET BLVD. N.W.,,,TV,2015
500020,8054EK A 2    SW-12-20-3-5,T,2,Residential,I  Individual,84300,107200,0,191500,504 SUNSET BLVD. N.W.,,,TV,2015
500030,8054EK A 3    SW-12-20-3-5,T,2,Residential,I  Individual,84300,168700,0,253000,506 SUNSET BLVD. N.W.,,,TV,2015
500040,8054EK A 4    SW-12-20-3-5    50' X 120' Lot Area,T,2,Residential,I  Individual,84300,144800,0,229100,508 SUNSET BLVD. N.W.,,,TV,2015
500050,8054EK A 5    SW-12-20-3-5,T,2,Residential,I  Individual,84300,98700,0,183000,510 SUNSET BLVD. N.W.,,,TV,2015
500060,8054EK A 9    SW-12-20-3-5,T,2,Residential,I  Individual,98300,118600,0,216900,519 WINDSOR AVE. N.W.,,,TV,2015
500070,8054EK A 10    SW-12-20-3-5,T,2,Residential,I  Individual,84300,115900,0,200200,517 WINDSOR AVE. N.W.,,,TV,2015
500080,8054EK A 11    SW-12-20-3-5,T,2,Residential,I  Individual,84300,198500,0,282800,515 WINDSOR AVE. N.W.,,,TV,2015
500090,8054EK A 12    SW-12-20-3-5,T,2,Residential,I  Individual,84300,199600,0,283900,513 WINDSOR AVE. N.W.,,,TV,2015
500100,8054EK A 13    SW-12-20-3-5,T,2,Residential,I  Individual,84300,115800,0,200100,511 WINDSOR AVE. N.W.,,,TV,2015
500110,8054EK A 14    SW-12-20-3-5,T,2,Residential,I  Individual,84300,144200,0,228500,509 WINDSOR AVE. N.W.,,,TV,2015
500120,"8054EK A 15,16    SW-12-20-3-5",T,2,Residential,I  Individual,100400,188500,0,288900,505 WINDSOR AVE. N.W.,,,TV,2015
500140,8054EK A 17    SW-12-20-3-5,T,2,Residential,I  Individual,84300,212300,0,296600,503 WINDSOR AVE. N.W.,,,TV,2015
500150,8054EK A 18    SW-12-20-3-5,T,2,Residential,I  Individual,84300,161500,0,245800,501 WINDSOR AVE. NW,,,TV,2015
500160,8054EK B 1    SW-12-20-3-5,T,2,Residential,I  Individual,87000,103700,0,190700,502 WINDSOR AVE. N.W.,,,TV,2015
500170,8054EK B 2    SW-12-20-3-5,T,2,Residential,I  Individual,87000,135600,0,222600,504 WINDSOR AVE. N.W.,,,TV,2015
500180,8054EK B 3    SW-12-20-3-5,T,2,Residential,I  Individual,102300,79900,0,182200,156 JOHN ST. N.W.,,,TV,2015
500200,8054EK B 4    SW-12-20-3-5    Lot 4 (Park Reserve)Public Works,E,10,Municipal Public Lands-Exempt,M  Municipal,179500,464900,0,644400,514 WINDSOR AVE. N.W.,,,TV,2015
500250,8054EK B 5    SW-12-20-3-5    Lot 5 (Public Works Reserve),E,10,Municipal Public Lands-Exempt,M  Municipal,179500,125300,0,304800,526 WINDSOR AVE. N.W.,,,TV,2015
500300,7710288 A 5    SW-12-20-3-5,T,2,Residential,I  Individual,55400,122900,0,178300,512 SUNSET BLVD. N.W.,,,TV,2015
500310,7710288 A 4    SW-12-20-3-5,T,2,Residential,I  Individual,40700,123600,0,164300,514 SUNSET BLVD. N.W.,,,TV,2015
500320,7710288 A 3    SW-12-20-3-5,T,2,Residential,I  Individual,40700,131500,0,172200,516 SUNSET BLVD. N.W.,,,TV,2015
500330,7710288 A 2    SW-12-20-3-5    24.5' X 120',T,2,Residential,I  Individual,55400,122500,0,177900,518 SUNSET BLVD. N.W.,,,TV,2015
500340,7710288 A 1    SE-12-20-3-5,T,2,Residential,I  Individual,91000,181100,0,272100,102 SUNSET BLVD. N.W.,,,TV,2015
600010,2474DN A 1    SE-12-20-3-5,T,2,Residential,I  Individual,17550,65200,0,82750,146 MAIN ST. N.W.,,,TV,2015
600010,2474DN A 1    SE-12-20-3-5,T,3,Commercial,I  Individual,40950,123600,0,164550,146 MAIN ST. N.W.,,,TV,2015
600015,2474DN 10'A 10    SE-12-20-3-5    10' X 25' = 250ft2,T,3,Commercial,I  Individual,2200,0,0,2200,103 EDGAR AVE. N.W.,,,TV,2015
600020,2474DN A 1-3    SE-12-20-3-5    Portion of lots 1-3 West 48' of A & 1-3,T,3,Commercial,I  Individual,47300,1500,0,48800,105 EDGAR AVE. N.W.,,,TV,2015
600030,0311914 26 34    SE-12-20-3-5,T,3,Commercial,C  Corporation,52600,238900,0,291500,140 MAIN ST. N.W.,,,TV,2015
600040,0311914 26 35    SE-12-20-3-5,T,3,Commercial,C  Corporation,61000,0,0,61000,136 Main Street NW,,,TV,2015
600050,"2474DN  6,7    SE-12-20-3-5",T,3,Commercial,I  Individual,61900,126900,0,188800,132 MAIN ST. N.W.,,,TV,2015
600060,2474DN  8-10    SE-12-20-3-5,T,3,Commercial,C  Corporation,65200,234600,0,299800,128 MAIN ST. N.W.,,,TV,2015
600070,"2474DN  10-13    SE-12-20-3-5    TEAM REALTY, GRANNYS PIZZA DIAMOND",T,3,Commercial,C  Corporation,85400,471700,0,557100,118 MAIN ST. N.W.,,,TV,2015
600080,"2474DN  14,15    SE-12-20-3-5    That Portion of Lot 14 West of Street",T,3,Commercial,C  Corporation,61900,238100,0,300000,112 MAIN ST. N.W.,,,TV,2015
600090,"2474DN  16,17    SE-12-20-3-5    52' X 188'",T,3,Commercial,C  Corporation,61900,208500,0,270400,108 MAIN ST. N.W.,,,TV,2015
600100,"2474DN  18,19    SE-12-20-3-5",T,3,Commercial,C  Corporation,61900,402800,0,464700,104 MAIN ST. N.W.,,,TV,2015
600105,2474DN  20    SE-12-20-3-5,T,3,Commercial,C  Corporation,48900,6000,0,54900,102 MAIN ST. N.W.,,,TV,2015
600110,2474DN  21-23    SE-12-20-3-5,T,3,Commercial,C  Corporation,85700,398800,0,484500,104 SUNSET BLVD. N.W.,,,TV,2015
600120,2474DN  24    SE-12-20-3-5,T,2,Residential,I  Individual,65700,46700,0,112400,110 SUNSET BLVD. N.W.,,,TV,2015
600130,"2474DN  25,26    SE-12-20-3-5",T,3,Commercial,C  Corporation,77900,265900,0,343800,112 SUNSET BLVD. N.W.,,,TV,2015
600140,"2474DN  27,28    SE-12-20-3-5",T,3,Commercial,C  Corporation,77900,75000,0,152900,116 SUNSET BLVD. N.W.,,,TV,2015
600150,2474DN  29    SE-12-20-3-5,T,3,Commercial,I  Individual,65700,0,0,65700,120 SUNSET BLVD. N.W.,,,TV,2015
600154,"2474DN  30,31    SE-12-20-3-5",T,3,Commercial,I  Individual,61900,107000,0,168900,122 SUNSET BLVD. N.W.,,,TV,2015
600157,2474DN  32    SE-12-20-3-5,T,3,Commercial,I  Individual,65700,0,0,65700,126 SUNSET BLVD. N.W.,,,TV,2015
600160,2474DN  33    SE-12-20-3-5,T,2,Residential,I  Individual,20300,42900,0,63200,130 SUNSET BLVD. N.W.,,,TV,2015
600160,2474DN  33    SE-12-20-3-5,E,11,Institutional,I  Individual,60900,119200,0,180100,130 SUNSET BLVD. N.W.,,,TV,2015
602010,7423DQ 2 1-3    SE-12-20-3-5,T,2,Residential,I  Individual,85700,79100,0,164800,318 MAIN ST. N.W.,,,TV,2015
602020,"7423DQ 2 4,5    SE-12-20-3-5",T,3,Commercial,I  Individual,76500,88300,0,164800,314 MAIN ST. N.W.,,,TV,2015
602040,7423DQ 2 6-9    SE-12-20-3-5,T,2,Residential,I  Individual,91100,122900,0,214000,306 MAIN ST. N.W.,,,TV,2015
602050,"7423DQ 2 10,11    SE-12-20-3-5    TURNER VALLEY MAIN STREET GAS STATION",T,3,Commercial,I  Individual,52800,284200,0,337000,302 MAIN ST. N.W.,,,TV,2015
602060,"8054EK 2 12,E13    SE-12-20-3-5",T,2,Residential,I  Individual,76000,132700,0,208700,108 FRONTENAC AVE. N.W.,,,TV,2015
602070,"8054EK 2 13,14    SE-12-20-3-5",T,2,Residential,I  Individual,76000,187700,0,263700,110 FRONTENAC AVE. N.W.,,,TV,2015
602080,"8054EK 2 15,16    SE-12-20-3-5",T,2,Residential,I  Individual,82400,176700,0,259100,112 FRONTENAC AVE. N.W.,,,TV,2015
602090,"8054EK 2 17,P18    SE-12-20-3-5    42.9' X 116.8'",T,2,Residential,I  Individual,67000,216800,0,283800,114 FRONTENAC AVE. N.W.,,,TV,2015
602100,"8054EK 2 P18,19    SE-12-20-3-5",T,2,Residential,I  Individual,54200,73400,0,127600,116 FRONTENAC AVE. N.W.,,,TV,2015
602110,"8054EK 2 19,20    SE-12-20-3-5    Westerly 17' of lot 19 all of lot 20",T,2,Residential,I  Individual,76000,216000,0,292000,118 FRONTENAC AVE. N.W.,,,TV,2015
