Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,"8054EK A 1    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,43200,0,142700,502 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500020,"8054EK A 2    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,89700,0,189200,504 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500030,"8054EK A 3    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,165400,0,264900,506 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500040,"8054EK A 4    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,138200,0,237700,508 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500050,"8054EK A 5    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,88100,0,187600,510 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500060,"8054EK A 9    SW-12-20-3-5    10,330 Sq. Feet",T,2,Residential,I  Individual,116000,117200,0,233200,519 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500070,"8054EK A 10    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,108300,0,207800,517 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500080,"8054EK A 11    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,187700,0,287200,515 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500090,"8054EK A 12    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,187600,0,287100,513 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500100,"8054EK A 13    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,118200,0,217700,511 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500110,"8054EK A 14    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,136000,0,235500,509 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500120,"8054EK A 15,16    SW-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,118400,181500,0,299900,505 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500140,"8054EK A 17    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,210100,0,309600,503 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500150,"8054EK A 18    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,99500,149800,0,249300,501 WINDSOR AVE. NW,R    LAND & IMPROVEMENTS,,TV,2022
500160,"8054EK B 1    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,102600,98100,0,200700,502 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500170,"8054EK B 2    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,102600,125800,0,228400,504 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500180,"8054EK B 3    SW-12-20-3-5    13,560 Sq. Feet",T,2,Residential,I  Individual,120700,74400,0,195100,156 JOHN ST. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500200,8054EK B 4    SW-12-20-3-5    2.00 Acres,E,10,Municipal Public Lands-Exempt,M  Municipal,211800,433800,0,645600,514 WINDSOR AVE. N.W.,NR  LAND & IMPROVEMENTS,TOWN OF TURNER VALLEY TOWN OFFICE,TV,2022
500250,8054EK B 5    SW-12-20-3-5    2.00 Acres,E,10,Municipal Public Lands-Exempt,M  Municipal,211800,111800,0,323600,526 WINDSOR AVE. N.W.,NR  LAND & IMPROVEMENTS,,TV,2022
500300,"7710288 A 5    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,65400,112700,0,178100,512 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500310,"7710288 A 4    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,48000,113400,0,161400,514 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500320,"7710288 A 3    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,48000,120600,0,168600,516 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500330,"7710288 A 2    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,65400,112300,0,177700,518 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
500340,"7710288 A 1    SE-12-20-3-5    7,970 Sq. Feet",T,2,Residential,I  Individual,128800,196700,0,325500,102 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2022
